Period,Decile,Gender,Agegroup,Life_Expectancy
2011-2013,1,Male,<1      ,73.87
2011-2013,1,Male,1-4,73.38
2011-2013,1,Male,5-9,69.46
2011-2013,1,Male,10-14,64.49
2011-2013,1,Male,15-19   ,59.54
2011-2013,1,Male,20-24   ,54.66
2011-2013,1,Male,25-29   ,49.83
2011-2013,1,Male,30-34   ,45.06
2011-2013,1,Male,35-39   ,40.35
2011-2013,1,Male,40-44   ,35.78
2011-2013,1,Male,45-49   ,31.39
2011-2013,1,Male,50-54   ,27.15
2011-2013,1,Male,55-59   ,23.05
2011-2013,1,Male,60-64   ,19.21
2011-2013,1,Male,65-69   ,15.73
2011-2013,1,Male,70-74   ,12.58
2011-2013,1,Male,75-79   ,9.84
2011-2013,1,Male,80-84   ,7.41
2011-2013,1,Male,85-89   ,5.47
2011-2013,1,Male,90+     ,4.1
2011-2013,1,Female,<1      ,79.01
2011-2013,1,Female,1-4,78.41
2011-2013,1,Female,5-9,74.48
2011-2013,1,Female,10-14,69.51
2011-2013,1,Female,15-19   ,64.54
2011-2013,1,Female,20-24   ,59.59
2011-2013,1,Female,25-29   ,54.66
2011-2013,1,Female,30-34   ,49.78
2011-2013,1,Female,35-39   ,44.94
2011-2013,1,Female,40-44   ,40.18
2011-2013,1,Female,45-49   ,35.53
2011-2013,1,Female,50-54   ,31
2011-2013,1,Female,55-59   ,26.64
2011-2013,1,Female,60-64   ,22.47
2011-2013,1,Female,65-69   ,18.56
2011-2013,1,Female,70-74   ,14.97
2011-2013,1,Female,75-79   ,11.72
2011-2013,1,Female,80-84   ,8.86
2011-2013,1,Female,85-89   ,6.57
2011-2013,1,Female,90+     ,4.78
2011-2013,2,Male,<1      ,76.02
2011-2013,2,Male,1-4,75.47
2011-2013,2,Male,5-9,71.53
2011-2013,2,Male,10-14,66.57
2011-2013,2,Male,15-19   ,61.6
2011-2013,2,Male,20-24   ,56.7
2011-2013,2,Male,25-29   ,51.86
2011-2013,2,Male,30-34   ,47.02
2011-2013,2,Male,35-39   ,42.24
2011-2013,2,Male,40-44   ,37.54
2011-2013,2,Male,45-49   ,32.98
2011-2013,2,Male,50-54   ,28.53
2011-2013,2,Male,55-59   ,24.25
2011-2013,2,Male,60-64   ,20.24
2011-2013,2,Male,65-69   ,16.57
2011-2013,2,Male,70-74   ,13.24
2011-2013,2,Male,75-79   ,10.24
2011-2013,2,Male,80-84   ,7.66
2011-2013,2,Male,85-89   ,5.55
2011-2013,2,Male,90+     ,4.07
2011-2013,2,Female,<1      ,80.4
2011-2013,2,Female,1-4,79.76
2011-2013,2,Female,5-9,75.83
2011-2013,2,Female,10-14,70.86
2011-2013,2,Female,15-19   ,65.89
2011-2013,2,Female,20-24   ,60.95
2011-2013,2,Female,25-29   ,56.02
2011-2013,2,Female,30-34   ,51.1
2011-2013,2,Female,35-39   ,46.24
2011-2013,2,Female,40-44   ,41.44
2011-2013,2,Female,45-49   ,36.73
2011-2013,2,Female,50-54   ,32.12
2011-2013,2,Female,55-59   ,27.64
2011-2013,2,Female,60-64   ,23.35
2011-2013,2,Female,65-69   ,19.31
2011-2013,2,Female,70-74   ,15.5
2011-2013,2,Female,75-79   ,12.05
2011-2013,2,Female,80-84   ,9
2011-2013,2,Female,85-89   ,6.51
2011-2013,2,Female,90+     ,4.64
2011-2013,3,Male,<1      ,77.34
2011-2013,3,Male,1-4,76.74
2011-2013,3,Male,5-9,72.8
2011-2013,3,Male,10-14,67.84
2011-2013,3,Male,15-19   ,62.87
2011-2013,3,Male,20-24   ,57.97
2011-2013,3,Male,25-29   ,53.09
2011-2013,3,Male,30-34   ,48.23
2011-2013,3,Male,35-39   ,43.41
2011-2013,3,Male,40-44   ,38.7
2011-2013,3,Male,45-49   ,34.09
2011-2013,3,Male,50-54   ,29.6
2011-2013,3,Male,55-59   ,25.23
2011-2013,3,Male,60-64   ,21.13
2011-2013,3,Male,65-69   ,17.3
2011-2013,3,Male,70-74   ,13.73
2011-2013,3,Male,75-79   ,10.58
2011-2013,3,Male,80-84   ,7.86
2011-2013,3,Male,85-89   ,5.74
2011-2013,3,Male,90+     ,4.26
2011-2013,3,Female,<1      ,81.51
2011-2013,3,Female,1-4,80.84
2011-2013,3,Female,5-9,76.9
2011-2013,3,Female,10-14,71.92
2011-2013,3,Female,15-19   ,66.95
2011-2013,3,Female,20-24   ,62.01
2011-2013,3,Female,25-29   ,57.08
2011-2013,3,Female,30-34   ,52.15
2011-2013,3,Female,35-39   ,47.26
2011-2013,3,Female,40-44   ,42.43
2011-2013,3,Female,45-49   ,37.67
2011-2013,3,Female,50-54   ,33.01
2011-2013,3,Female,55-59   ,28.47
2011-2013,3,Female,60-64   ,24.12
2011-2013,3,Female,65-69   ,19.99
2011-2013,3,Female,70-74   ,16.09
2011-2013,3,Female,75-79   ,12.52
2011-2013,3,Female,80-84   ,9.33
2011-2013,3,Female,85-89   ,6.77
2011-2013,3,Female,90+     ,4.82
2011-2013,4,Male,<1      ,78.53
2011-2013,4,Male,1-4,77.9
2011-2013,4,Male,5-9,73.95
2011-2013,4,Male,10-14,68.97
2011-2013,4,Male,15-19   ,64.01
2011-2013,4,Male,20-24   ,59.1
2011-2013,4,Male,25-29   ,54.23
2011-2013,4,Male,30-34   ,49.38
2011-2013,4,Male,35-39   ,44.55
2011-2013,4,Male,40-44   ,39.77
2011-2013,4,Male,45-49   ,35.1
2011-2013,4,Male,50-54   ,30.53
2011-2013,4,Male,55-59   ,26.13
2011-2013,4,Male,60-64   ,21.92
2011-2013,4,Male,65-69   ,17.98
2011-2013,4,Male,70-74   ,14.26
2011-2013,4,Male,75-79   ,11.02
2011-2013,4,Male,80-84   ,8.16
2011-2013,4,Male,85-89   ,5.9
2011-2013,4,Male,90+     ,4.26
2011-2013,4,Female,<1      ,82.4
2011-2013,4,Female,1-4,81.69
2011-2013,4,Female,5-9,77.74
2011-2013,4,Female,10-14,72.76
2011-2013,4,Female,15-19   ,67.79
2011-2013,4,Female,20-24   ,62.83
2011-2013,4,Female,25-29   ,57.88
2011-2013,4,Female,30-34   ,52.95
2011-2013,4,Female,35-39   ,48.06
2011-2013,4,Female,40-44   ,43.2
2011-2013,4,Female,45-49   ,38.44
2011-2013,4,Female,50-54   ,33.75
2011-2013,4,Female,55-59   ,29.21
2011-2013,4,Female,60-64   ,24.83
2011-2013,4,Female,65-69   ,20.61
2011-2013,4,Female,70-74   ,16.58
2011-2013,4,Female,75-79   ,12.87
2011-2013,4,Female,80-84   ,9.61
2011-2013,4,Female,85-89   ,6.88
2011-2013,4,Female,90+     ,4.88
2011-2013,5,Male,<1      ,79.43
2011-2013,5,Male,1-4,78.76
2011-2013,5,Male,5-9,74.82
2011-2013,5,Male,10-14,69.86
2011-2013,5,Male,15-19   ,64.9
2011-2013,5,Male,20-24   ,59.98
2011-2013,5,Male,25-29   ,55.1
2011-2013,5,Male,30-34   ,50.24
2011-2013,5,Male,35-39   ,45.39
2011-2013,5,Male,40-44   ,40.62
2011-2013,5,Male,45-49   ,35.91
2011-2013,5,Male,50-54   ,31.28
2011-2013,5,Male,55-59   ,26.79
2011-2013,5,Male,60-64   ,22.48
2011-2013,5,Male,65-69   ,18.43
2011-2013,5,Male,70-74   ,14.62
2011-2013,5,Male,75-79   ,11.21
2011-2013,5,Male,80-84   ,8.23
2011-2013,5,Male,85-89   ,5.84
2011-2013,5,Male,90+     ,4.19
2011-2013,5,Female,<1      ,83.05
2011-2013,5,Female,1-4,82.31
2011-2013,5,Female,5-9,78.37
2011-2013,5,Female,10-14,73.39
2011-2013,5,Female,15-19   ,68.42
2011-2013,5,Female,20-24   ,63.48
2011-2013,5,Female,25-29   ,58.54
2011-2013,5,Female,30-34   ,53.61
2011-2013,5,Female,35-39   ,48.7
2011-2013,5,Female,40-44   ,43.85
2011-2013,5,Female,45-49   ,39.04
2011-2013,5,Female,50-54   ,34.33
2011-2013,5,Female,55-59   ,29.7
2011-2013,5,Female,60-64   ,25.23
2011-2013,5,Female,65-69   ,20.94
2011-2013,5,Female,70-74   ,16.83
2011-2013,5,Female,75-79   ,13.06
2011-2013,5,Female,80-84   ,9.67
2011-2013,5,Female,85-89   ,6.88
2011-2013,5,Female,90+     ,4.81
2011-2013,6,Male,<1      ,80.14
2011-2013,6,Male,1-4,79.46
2011-2013,6,Male,5-9,75.52
2011-2013,6,Male,10-14,70.55
2011-2013,6,Male,15-19   ,65.58
2011-2013,6,Male,20-24   ,60.67
2011-2013,6,Male,25-29   ,55.8
2011-2013,6,Male,30-34   ,50.92
2011-2013,6,Male,35-39   ,46.07
2011-2013,6,Male,40-44   ,41.26
2011-2013,6,Male,45-49   ,36.52
2011-2013,6,Male,50-54   ,31.85
2011-2013,6,Male,55-59   ,27.31
2011-2013,6,Male,60-64   ,22.95
2011-2013,6,Male,65-69   ,18.84
2011-2013,6,Male,70-74   ,14.96
2011-2013,6,Male,75-79   ,11.46
2011-2013,6,Male,80-84   ,8.36
2011-2013,6,Male,85-89   ,5.91
2011-2013,6,Male,90+     ,4.16
2011-2013,6,Female,<1      ,83.55
2011-2013,6,Female,1-4,82.8
2011-2013,6,Female,5-9,78.84
2011-2013,6,Female,10-14,73.87
2011-2013,6,Female,15-19   ,68.9
2011-2013,6,Female,20-24   ,63.94
2011-2013,6,Female,25-29   ,59.01
2011-2013,6,Female,30-34   ,54.07
2011-2013,6,Female,35-39   ,49.17
2011-2013,6,Female,40-44   ,44.29
2011-2013,6,Female,45-49   ,39.48
2011-2013,6,Female,50-54   ,34.74
2011-2013,6,Female,55-59   ,30.11
2011-2013,6,Female,60-64   ,25.62
2011-2013,6,Female,65-69   ,21.27
2011-2013,6,Female,70-74   ,17.1
2011-2013,6,Female,75-79   ,13.22
2011-2013,6,Female,80-84   ,9.75
2011-2013,6,Female,85-89   ,6.87
2011-2013,6,Female,90+     ,4.76
2011-2013,7,Male,<1      ,80.73
2011-2013,7,Male,1-4,80
2011-2013,7,Male,5-9,76.06
2011-2013,7,Male,10-14,71.09
2011-2013,7,Male,15-19   ,66.13
2011-2013,7,Male,20-24   ,61.21
2011-2013,7,Male,25-29   ,56.33
2011-2013,7,Male,30-34   ,51.46
2011-2013,7,Male,35-39   ,46.62
2011-2013,7,Male,40-44   ,41.81
2011-2013,7,Male,45-49   ,37.04
2011-2013,7,Male,50-54   ,32.37
2011-2013,7,Male,55-59   ,27.8
2011-2013,7,Male,60-64   ,23.38
2011-2013,7,Male,65-69   ,19.2
2011-2013,7,Male,70-74   ,15.24
2011-2013,7,Male,75-79   ,11.68
2011-2013,7,Male,80-84   ,8.55
2011-2013,7,Male,85-89   ,6.03
2011-2013,7,Male,90+     ,4.21
2011-2013,7,Female,<1      ,84.07
2011-2013,7,Female,1-4,83.32
2011-2013,7,Female,5-9,79.36
2011-2013,7,Female,10-14,74.39
2011-2013,7,Female,15-19   ,69.42
2011-2013,7,Female,20-24   ,64.47
2011-2013,7,Female,25-29   ,59.53
2011-2013,7,Female,30-34   ,54.59
2011-2013,7,Female,35-39   ,49.66
2011-2013,7,Female,40-44   ,44.77
2011-2013,7,Female,45-49   ,39.93
2011-2013,7,Female,50-54   ,35.17
2011-2013,7,Female,55-59   ,30.5
2011-2013,7,Female,60-64   ,25.96
2011-2013,7,Female,65-69   ,21.56
2011-2013,7,Female,70-74   ,17.36
2011-2013,7,Female,75-79   ,13.43
2011-2013,7,Female,80-84   ,9.88
2011-2013,7,Female,85-89   ,6.98
2011-2013,7,Female,90+     ,4.86
2011-2013,8,Male,<1      ,81.32
2011-2013,8,Male,1-4,80.58
2011-2013,8,Male,5-9,76.63
2011-2013,8,Male,10-14,71.65
2011-2013,8,Male,15-19   ,66.68
2011-2013,8,Male,20-24   ,61.78
2011-2013,8,Male,25-29   ,56.9
2011-2013,8,Male,30-34   ,52.02
2011-2013,8,Male,35-39   ,47.14
2011-2013,8,Male,40-44   ,42.31
2011-2013,8,Male,45-49   ,37.53
2011-2013,8,Male,50-54   ,32.82
2011-2013,8,Male,55-59   ,28.2
2011-2013,8,Male,60-64   ,23.77
2011-2013,8,Male,65-69   ,19.51
2011-2013,8,Male,70-74   ,15.51
2011-2013,8,Male,75-79   ,11.9
2011-2013,8,Male,80-84   ,8.75
2011-2013,8,Male,85-89   ,6.22
2011-2013,8,Male,90+     ,4.41
2011-2013,8,Female,<1      ,84.39
2011-2013,8,Female,1-4,83.61
2011-2013,8,Female,5-9,79.65
2011-2013,8,Female,10-14,74.69
2011-2013,8,Female,15-19   ,69.71
2011-2013,8,Female,20-24   ,64.75
2011-2013,8,Female,25-29   ,59.81
2011-2013,8,Female,30-34   ,54.87
2011-2013,8,Female,35-39   ,49.96
2011-2013,8,Female,40-44   ,45.07
2011-2013,8,Female,45-49   ,40.23
2011-2013,8,Female,50-54   ,35.44
2011-2013,8,Female,55-59   ,30.76
2011-2013,8,Female,60-64   ,26.2
2011-2013,8,Female,65-69   ,21.79
2011-2013,8,Female,70-74   ,17.56
2011-2013,8,Female,75-79   ,13.57
2011-2013,8,Female,80-84   ,9.98
2011-2013,8,Female,85-89   ,7.05
2011-2013,8,Female,90+     ,4.86
2011-2013,9,Male,<1      ,81.85
2011-2013,9,Male,1-4,81.11
2011-2013,9,Male,5-9,77.16
2011-2013,9,Male,10-14,72.18
2011-2013,9,Male,15-19   ,67.22
2011-2013,9,Male,20-24   ,62.31
2011-2013,9,Male,25-29   ,57.41
2011-2013,9,Male,30-34   ,52.53
2011-2013,9,Male,35-39   ,47.67
2011-2013,9,Male,40-44   ,42.82
2011-2013,9,Male,45-49   ,38.01
2011-2013,9,Male,50-54   ,33.26
2011-2013,9,Male,55-59   ,28.62
2011-2013,9,Male,60-64   ,24.14
2011-2013,9,Male,65-69   ,19.86
2011-2013,9,Male,70-74   ,15.79
2011-2013,9,Male,75-79   ,12.12
2011-2013,9,Male,80-84   ,8.82
2011-2013,9,Male,85-89   ,6.24
2011-2013,9,Male,90+     ,4.37
2011-2013,9,Female,<1      ,84.94
2011-2013,9,Female,1-4,84.17
2011-2013,9,Female,5-9,80.2
2011-2013,9,Female,10-14,75.23
2011-2013,9,Female,15-19   ,70.25
2011-2013,9,Female,20-24   ,65.29
2011-2013,9,Female,25-29   ,60.34
2011-2013,9,Female,30-34   ,55.41
2011-2013,9,Female,35-39   ,50.5
2011-2013,9,Female,40-44   ,45.6
2011-2013,9,Female,45-49   ,40.74
2011-2013,9,Female,50-54   ,35.95
2011-2013,9,Female,55-59   ,31.24
2011-2013,9,Female,60-64   ,26.65
2011-2013,9,Female,65-69   ,22.18
2011-2013,9,Female,70-74   ,17.9
2011-2013,9,Female,75-79   ,13.87
2011-2013,9,Female,80-84   ,10.24
2011-2013,9,Female,85-89   ,7.21
2011-2013,9,Female,90+     ,4.99
2011-2013,10,Male,<1      ,82.92
2011-2013,10,Male,1-4,82.17
2011-2013,10,Male,5-9,78.2
2011-2013,10,Male,10-14,73.22
2011-2013,10,Male,15-19   ,68.24
2011-2013,10,Male,20-24   ,63.32
2011-2013,10,Male,25-29   ,58.44
2011-2013,10,Male,30-34   ,53.55
2011-2013,10,Male,35-39   ,48.66
2011-2013,10,Male,40-44   ,43.8
2011-2013,10,Male,45-49   ,38.95
2011-2013,10,Male,50-54   ,34.16
2011-2013,10,Male,55-59   ,29.48
2011-2013,10,Male,60-64   ,24.94
2011-2013,10,Male,65-69   ,20.58
2011-2013,10,Male,70-74   ,16.44
2011-2013,10,Male,75-79   ,12.68
2011-2013,10,Male,80-84   ,9.33
2011-2013,10,Male,85-89   ,6.6
2011-2013,10,Male,90+     ,4.64
2011-2013,10,Female,<1      ,85.89
2011-2013,10,Female,1-4,85.11
2011-2013,10,Female,5-9,81.14
2011-2013,10,Female,10-14,76.16
2011-2013,10,Female,15-19   ,71.18
2011-2013,10,Female,20-24   ,66.22
2011-2013,10,Female,25-29   ,61.27
2011-2013,10,Female,30-34   ,56.34
2011-2013,10,Female,35-39   ,51.43
2011-2013,10,Female,40-44   ,46.52
2011-2013,10,Female,45-49   ,41.65
2011-2013,10,Female,50-54   ,36.83
2011-2013,10,Female,55-59   ,32.09
2011-2013,10,Female,60-64   ,27.44
2011-2013,10,Female,65-69   ,22.94
2011-2013,10,Female,70-74   ,18.59
2011-2013,10,Female,75-79   ,14.49
2011-2013,10,Female,80-84   ,10.76
2011-2013,10,Female,85-89   ,7.62
2011-2013,10,Female,90+     ,5.33
2012-2014,1,Male,<1      ,73.96
2012-2014,1,Male,1-4,73.45
2012-2014,1,Male,5-9,69.52
2012-2014,1,Male,10-14,64.56
2012-2014,1,Male,15-19   ,59.6
2012-2014,1,Male,20-24   ,54.71
2012-2014,1,Male,25-29   ,49.88
2012-2014,1,Male,30-34   ,45.1
2012-2014,1,Male,35-39   ,40.39
2012-2014,1,Male,40-44   ,35.83
2012-2014,1,Male,45-49   ,31.44
2012-2014,1,Male,50-54   ,27.2
2012-2014,1,Male,55-59   ,23.12
2012-2014,1,Male,60-64   ,19.28
2012-2014,1,Male,65-69   ,15.8
2012-2014,1,Male,70-74   ,12.58
2012-2014,1,Male,75-79   ,9.81
2012-2014,1,Male,80-84   ,7.39
2012-2014,1,Male,85-89   ,5.46
2012-2014,1,Male,90+     ,4.11
2012-2014,1,Female,<1      ,79
2012-2014,1,Female,1-4,78.41
2012-2014,1,Female,5-9,74.48
2012-2014,1,Female,10-14,69.51
2012-2014,1,Female,15-19   ,64.55
2012-2014,1,Female,20-24   ,59.6
2012-2014,1,Female,25-29   ,54.67
2012-2014,1,Female,30-34   ,49.78
2012-2014,1,Female,35-39   ,44.94
2012-2014,1,Female,40-44   ,40.2
2012-2014,1,Female,45-49   ,35.56
2012-2014,1,Female,50-54   ,31.04
2012-2014,1,Female,55-59   ,26.67
2012-2014,1,Female,60-64   ,22.5
2012-2014,1,Female,65-69   ,18.61
2012-2014,1,Female,70-74   ,15
2012-2014,1,Female,75-79   ,11.74
2012-2014,1,Female,80-84   ,8.88
2012-2014,1,Female,85-89   ,6.55
2012-2014,1,Female,90+     ,4.76
2012-2014,2,Male,<1      ,76.14
2012-2014,2,Male,1-4,75.55
2012-2014,2,Male,5-9,71.61
2012-2014,2,Male,10-14,66.64
2012-2014,2,Male,15-19   ,61.68
2012-2014,2,Male,20-24   ,56.79
2012-2014,2,Male,25-29   ,51.95
2012-2014,2,Male,30-34   ,47.12
2012-2014,2,Male,35-39   ,42.32
2012-2014,2,Male,40-44   ,37.63
2012-2014,2,Male,45-49   ,33.06
2012-2014,2,Male,50-54   ,28.63
2012-2014,2,Male,55-59   ,24.34
2012-2014,2,Male,60-64   ,20.31
2012-2014,2,Male,65-69   ,16.64
2012-2014,2,Male,70-74   ,13.29
2012-2014,2,Male,75-79   ,10.25
2012-2014,2,Male,80-84   ,7.65
2012-2014,2,Male,85-89   ,5.57
2012-2014,2,Male,90+     ,4.08
2012-2014,2,Female,<1      ,80.47
2012-2014,2,Female,1-4,79.84
2012-2014,2,Female,5-9,75.89
2012-2014,2,Female,10-14,70.92
2012-2014,2,Female,15-19   ,65.96
2012-2014,2,Female,20-24   ,61.02
2012-2014,2,Female,25-29   ,56.08
2012-2014,2,Female,30-34   ,51.16
2012-2014,2,Female,35-39   ,46.29
2012-2014,2,Female,40-44   ,41.49
2012-2014,2,Female,45-49   ,36.77
2012-2014,2,Female,50-54   ,32.16
2012-2014,2,Female,55-59   ,27.67
2012-2014,2,Female,60-64   ,23.38
2012-2014,2,Female,65-69   ,19.32
2012-2014,2,Female,70-74   ,15.51
2012-2014,2,Female,75-79   ,12.07
2012-2014,2,Female,80-84   ,9
2012-2014,2,Female,85-89   ,6.53
2012-2014,2,Female,90+     ,4.62
2012-2014,3,Male,<1      ,77.48
2012-2014,3,Male,1-4,76.82
2012-2014,3,Male,5-9,72.89
2012-2014,3,Male,10-14,67.94
2012-2014,3,Male,15-19   ,62.97
2012-2014,3,Male,20-24   ,58.07
2012-2014,3,Male,25-29   ,53.2
2012-2014,3,Male,30-34   ,48.34
2012-2014,3,Male,35-39   ,43.53
2012-2014,3,Male,40-44   ,38.81
2012-2014,3,Male,45-49   ,34.2
2012-2014,3,Male,50-54   ,29.7
2012-2014,3,Male,55-59   ,25.34
2012-2014,3,Male,60-64   ,21.21
2012-2014,3,Male,65-69   ,17.36
2012-2014,3,Male,70-74   ,13.79
2012-2014,3,Male,75-79   ,10.62
2012-2014,3,Male,80-84   ,7.89
2012-2014,3,Male,85-89   ,5.71
2012-2014,3,Male,90+     ,4.21
2012-2014,3,Female,<1      ,81.63
2012-2014,3,Female,1-4,80.92
2012-2014,3,Female,5-9,76.97
2012-2014,3,Female,10-14,72
2012-2014,3,Female,15-19   ,67.04
2012-2014,3,Female,20-24   ,62.09
2012-2014,3,Female,25-29   ,57.16
2012-2014,3,Female,30-34   ,52.24
2012-2014,3,Female,35-39   ,47.36
2012-2014,3,Female,40-44   ,42.52
2012-2014,3,Female,45-49   ,37.76
2012-2014,3,Female,50-54   ,33.1
2012-2014,3,Female,55-59   ,28.55
2012-2014,3,Female,60-64   ,24.18
2012-2014,3,Female,65-69   ,20.05
2012-2014,3,Female,70-74   ,16.09
2012-2014,3,Female,75-79   ,12.52
2012-2014,3,Female,80-84   ,9.31
2012-2014,3,Female,85-89   ,6.73
2012-2014,3,Female,90+     ,4.78
2012-2014,4,Male,<1      ,78.72
2012-2014,4,Male,1-4,78.06
2012-2014,4,Male,5-9,74.11
2012-2014,4,Male,10-14,69.14
2012-2014,4,Male,15-19   ,64.18
2012-2014,4,Male,20-24   ,59.28
2012-2014,4,Male,25-29   ,54.4
2012-2014,4,Male,30-34   ,49.55
2012-2014,4,Male,35-39   ,44.71
2012-2014,4,Male,40-44   ,39.92
2012-2014,4,Male,45-49   ,35.25
2012-2014,4,Male,50-54   ,30.69
2012-2014,4,Male,55-59   ,26.26
2012-2014,4,Male,60-64   ,22.05
2012-2014,4,Male,65-69   ,18.09
2012-2014,4,Male,70-74   ,14.37
2012-2014,4,Male,75-79   ,11.1
2012-2014,4,Male,80-84   ,8.22
2012-2014,4,Male,85-89   ,5.93
2012-2014,4,Male,90+     ,4.26
2012-2014,4,Female,<1      ,82.46
2012-2014,4,Female,1-4,81.75
2012-2014,4,Female,5-9,77.79
2012-2014,4,Female,10-14,72.82
2012-2014,4,Female,15-19   ,67.85
2012-2014,4,Female,20-24   ,62.9
2012-2014,4,Female,25-29   ,57.95
2012-2014,4,Female,30-34   ,53.03
2012-2014,4,Female,35-39   ,48.13
2012-2014,4,Female,40-44   ,43.28
2012-2014,4,Female,45-49   ,38.51
2012-2014,4,Female,50-54   ,33.81
2012-2014,4,Female,55-59   ,29.24
2012-2014,4,Female,60-64   ,24.84
2012-2014,4,Female,65-69   ,20.62
2012-2014,4,Female,70-74   ,16.57
2012-2014,4,Female,75-79   ,12.87
2012-2014,4,Female,80-84   ,9.56
2012-2014,4,Female,85-89   ,6.85
