Period,Decile,Gender,Agegroup,Life_Expectancy
2012-2014,4,Female,90+     ,4.84
2012-2014,5,Male,<1      ,79.56
2012-2014,5,Male,1-4,78.87
2012-2014,5,Male,5-9,74.93
2012-2014,5,Male,10-14,69.97
2012-2014,5,Male,15-19   ,65
2012-2014,5,Male,20-24   ,60.09
2012-2014,5,Male,25-29   ,55.22
2012-2014,5,Male,30-34   ,50.35
2012-2014,5,Male,35-39   ,45.51
2012-2014,5,Male,40-44   ,40.74
2012-2014,5,Male,45-49   ,36.02
2012-2014,5,Male,50-54   ,31.41
2012-2014,5,Male,55-59   ,26.91
2012-2014,5,Male,60-64   ,22.57
2012-2014,5,Male,65-69   ,18.51
2012-2014,5,Male,70-74   ,14.71
2012-2014,5,Male,75-79   ,11.3
2012-2014,5,Male,80-84   ,8.29
2012-2014,5,Male,85-89   ,5.89
2012-2014,5,Male,90+     ,4.22
2012-2014,5,Female,<1      ,83.14
2012-2014,5,Female,1-4,82.41
2012-2014,5,Female,5-9,78.46
2012-2014,5,Female,10-14,73.49
2012-2014,5,Female,15-19   ,68.5
2012-2014,5,Female,20-24   ,63.57
2012-2014,5,Female,25-29   ,58.63
2012-2014,5,Female,30-34   ,53.7
2012-2014,5,Female,35-39   ,48.8
2012-2014,5,Female,40-44   ,43.95
2012-2014,5,Female,45-49   ,39.15
2012-2014,5,Female,50-54   ,34.43
2012-2014,5,Female,55-59   ,29.8
2012-2014,5,Female,60-64   ,25.32
2012-2014,5,Female,65-69   ,21.02
2012-2014,5,Female,70-74   ,16.9
2012-2014,5,Female,75-79   ,13.09
2012-2014,5,Female,80-84   ,9.7
2012-2014,5,Female,85-89   ,6.9
2012-2014,5,Female,90+     ,4.81
2012-2014,6,Male,<1      ,80.31
2012-2014,6,Male,1-4,79.6
2012-2014,6,Male,5-9,75.65
2012-2014,6,Male,10-14,70.68
2012-2014,6,Male,15-19   ,65.71
2012-2014,6,Male,20-24   ,60.8
2012-2014,6,Male,25-29   ,55.93
2012-2014,6,Male,30-34   ,51.06
2012-2014,6,Male,35-39   ,46.22
2012-2014,6,Male,40-44   ,41.41
2012-2014,6,Male,45-49   ,36.67
2012-2014,6,Male,50-54   ,32.01
2012-2014,6,Male,55-59   ,27.46
2012-2014,6,Male,60-64   ,23.09
2012-2014,6,Male,65-69   ,18.98
2012-2014,6,Male,70-74   ,15.09
2012-2014,6,Male,75-79   ,11.54
2012-2014,6,Male,80-84   ,8.42
2012-2014,6,Male,85-89   ,5.93
2012-2014,6,Male,90+     ,4.16
2012-2014,6,Female,<1      ,83.7
2012-2014,6,Female,1-4,82.94
2012-2014,6,Female,5-9,78.97
2012-2014,6,Female,10-14,74.01
2012-2014,6,Female,15-19   ,69.03
2012-2014,6,Female,20-24   ,64.08
2012-2014,6,Female,25-29   ,59.13
2012-2014,6,Female,30-34   ,54.2
2012-2014,6,Female,35-39   ,49.3
2012-2014,6,Female,40-44   ,44.42
2012-2014,6,Female,45-49   ,39.61
2012-2014,6,Female,50-54   ,34.87
2012-2014,6,Female,55-59   ,30.23
2012-2014,6,Female,60-64   ,25.72
2012-2014,6,Female,65-69   ,21.37
2012-2014,6,Female,70-74   ,17.18
2012-2014,6,Female,75-79   ,13.29
2012-2014,6,Female,80-84   ,9.79
2012-2014,6,Female,85-89   ,6.9
2012-2014,6,Female,90+     ,4.8
2012-2014,7,Male,<1      ,80.93
2012-2014,7,Male,1-4,80.19
2012-2014,7,Male,5-9,76.25
2012-2014,7,Male,10-14,71.28
2012-2014,7,Male,15-19   ,66.31
2012-2014,7,Male,20-24   ,61.39
2012-2014,7,Male,25-29   ,56.52
2012-2014,7,Male,30-34   ,51.65
2012-2014,7,Male,35-39   ,46.81
2012-2014,7,Male,40-44   ,41.99
2012-2014,7,Male,45-49   ,37.23
2012-2014,7,Male,50-54   ,32.54
2012-2014,7,Male,55-59   ,27.94
2012-2014,7,Male,60-64   ,23.52
2012-2014,7,Male,65-69   ,19.34
2012-2014,7,Male,70-74   ,15.34
2012-2014,7,Male,75-79   ,11.75
2012-2014,7,Male,80-84   ,8.61
2012-2014,7,Male,85-89   ,6.06
2012-2014,7,Male,90+     ,4.24
2012-2014,7,Female,<1      ,84.19
2012-2014,7,Female,1-4,83.43
2012-2014,7,Female,5-9,79.46
2012-2014,7,Female,10-14,74.5
2012-2014,7,Female,15-19   ,69.52
2012-2014,7,Female,20-24   ,64.57
2012-2014,7,Female,25-29   ,59.63
2012-2014,7,Female,30-34   ,54.68
2012-2014,7,Female,35-39   ,49.75
2012-2014,7,Female,40-44   ,44.87
2012-2014,7,Female,45-49   ,40.04
2012-2014,7,Female,50-54   ,35.28
2012-2014,7,Female,55-59   ,30.6
2012-2014,7,Female,60-64   ,26.06
2012-2014,7,Female,65-69   ,21.66
2012-2014,7,Female,70-74   ,17.44
2012-2014,7,Female,75-79   ,13.5
2012-2014,7,Female,80-84   ,9.95
2012-2014,7,Female,85-89   ,7.03
2012-2014,7,Female,90+     ,4.88
2012-2014,8,Male,<1      ,81.42
2012-2014,8,Male,1-4,80.68
2012-2014,8,Male,5-9,76.73
2012-2014,8,Male,10-14,71.75
2012-2014,8,Male,15-19   ,66.78
2012-2014,8,Male,20-24   ,61.88
2012-2014,8,Male,25-29   ,57
2012-2014,8,Male,30-34   ,52.13
2012-2014,8,Male,35-39   ,47.26
2012-2014,8,Male,40-44   ,42.43
2012-2014,8,Male,45-49   ,37.64
2012-2014,8,Male,50-54   ,32.93
2012-2014,8,Male,55-59   ,28.31
2012-2014,8,Male,60-64   ,23.87
2012-2014,8,Male,65-69   ,19.61
2012-2014,8,Male,70-74   ,15.6
2012-2014,8,Male,75-79   ,11.96
2012-2014,8,Male,80-84   ,8.76
2012-2014,8,Male,85-89   ,6.23
2012-2014,8,Male,90+     ,4.41
2012-2014,8,Female,<1      ,84.52
2012-2014,8,Female,1-4,83.75
2012-2014,8,Female,5-9,79.78
2012-2014,8,Female,10-14,74.8
2012-2014,8,Female,15-19   ,69.82
2012-2014,8,Female,20-24   ,64.87
2012-2014,8,Female,25-29   ,59.93
2012-2014,8,Female,30-34   ,54.99
2012-2014,8,Female,35-39   ,50.07
2012-2014,8,Female,40-44   ,45.18
2012-2014,8,Female,45-49   ,40.34
2012-2014,8,Female,50-54   ,35.55
2012-2014,8,Female,55-59   ,30.87
2012-2014,8,Female,60-64   ,26.31
2012-2014,8,Female,65-69   ,21.89
2012-2014,8,Female,70-74   ,17.65
2012-2014,8,Female,75-79   ,13.65
2012-2014,8,Female,80-84   ,10.05
2012-2014,8,Female,85-89   ,7.07
2012-2014,8,Female,90+     ,4.86
2012-2014,9,Male,<1      ,81.99
2012-2014,9,Male,1-4,81.24
2012-2014,9,Male,5-9,77.29
2012-2014,9,Male,10-14,72.31
2012-2014,9,Male,15-19   ,67.35
2012-2014,9,Male,20-24   ,62.43
2012-2014,9,Male,25-29   ,57.54
2012-2014,9,Male,30-34   ,52.65
2012-2014,9,Male,35-39   ,47.79
2012-2014,9,Male,40-44   ,42.93
2012-2014,9,Male,45-49   ,38.13
2012-2014,9,Male,50-54   ,33.38
2012-2014,9,Male,55-59   ,28.74
2012-2014,9,Male,60-64   ,24.25
2012-2014,9,Male,65-69   ,19.96
2012-2014,9,Male,70-74   ,15.88
2012-2014,9,Male,75-79   ,12.18
2012-2014,9,Male,80-84   ,8.89
2012-2014,9,Male,85-89   ,6.26
2012-2014,9,Male,90+     ,4.35
2012-2014,9,Female,<1      ,85.01
2012-2014,9,Female,1-4,84.25
2012-2014,9,Female,5-9,80.28
2012-2014,9,Female,10-14,75.31
2012-2014,9,Female,15-19   ,70.33
2012-2014,9,Female,20-24   ,65.37
2012-2014,9,Female,25-29   ,60.44
2012-2014,9,Female,30-34   ,55.5
2012-2014,9,Female,35-39   ,50.6
2012-2014,9,Female,40-44   ,45.71
2012-2014,9,Female,45-49   ,40.86
2012-2014,9,Female,50-54   ,36.06
2012-2014,9,Female,55-59   ,31.35
2012-2014,9,Female,60-64   ,26.75
2012-2014,9,Female,65-69   ,22.27
2012-2014,9,Female,70-74   ,17.97
2012-2014,9,Female,75-79   ,13.94
2012-2014,9,Female,80-84   ,10.28
2012-2014,9,Female,85-89   ,7.24
2012-2014,9,Female,90+     ,5
2012-2014,10,Male,<1      ,83.06
2012-2014,10,Male,1-4,82.31
2012-2014,10,Male,5-9,78.34
2012-2014,10,Male,10-14,73.36
2012-2014,10,Male,15-19   ,68.38
2012-2014,10,Male,20-24   ,63.45
2012-2014,10,Male,25-29   ,58.57
2012-2014,10,Male,30-34   ,53.68
2012-2014,10,Male,35-39   ,48.8
2012-2014,10,Male,40-44   ,43.92
2012-2014,10,Male,45-49   ,39.08
2012-2014,10,Male,50-54   ,34.29
2012-2014,10,Male,55-59   ,29.61
2012-2014,10,Male,60-64   ,25.06
2012-2014,10,Male,65-69   ,20.7
2012-2014,10,Male,70-74   ,16.54
2012-2014,10,Male,75-79   ,12.77
2012-2014,10,Male,80-84   ,9.38
2012-2014,10,Male,85-89   ,6.66
2012-2014,10,Male,90+     ,4.75
2012-2014,10,Female,<1      ,85.99
2012-2014,10,Female,1-4,85.22
2012-2014,10,Female,5-9,81.26
2012-2014,10,Female,10-14,76.28
2012-2014,10,Female,15-19   ,71.3
2012-2014,10,Female,20-24   ,66.34
2012-2014,10,Female,25-29   ,61.39
2012-2014,10,Female,30-34   ,56.46
2012-2014,10,Female,35-39   ,51.54
2012-2014,10,Female,40-44   ,46.65
2012-2014,10,Female,45-49   ,41.77
2012-2014,10,Female,50-54   ,36.95
2012-2014,10,Female,55-59   ,32.2
2012-2014,10,Female,60-64   ,27.55
2012-2014,10,Female,65-69   ,23.03
2012-2014,10,Female,70-74   ,18.66
2012-2014,10,Female,75-79   ,14.56
2012-2014,10,Female,80-84   ,10.82
2012-2014,10,Female,85-89   ,7.69
2012-2014,10,Female,90+     ,5.38
2013-2015,1,Male,<1      ,73.96
2013-2015,1,Male,1-4,73.44
2013-2015,1,Male,5-9,69.51
2013-2015,1,Male,10-14,64.54
2013-2015,1,Male,15-19   ,59.59
2013-2015,1,Male,20-24   ,54.69
2013-2015,1,Male,25-29   ,49.86
2013-2015,1,Male,30-34   ,45.08
2013-2015,1,Male,35-39   ,40.37
2013-2015,1,Male,40-44   ,35.81
2013-2015,1,Male,45-49   ,31.42
2013-2015,1,Male,50-54   ,27.18
2013-2015,1,Male,55-59   ,23.1
2013-2015,1,Male,60-64   ,19.25
2013-2015,1,Male,65-69   ,15.78
2013-2015,1,Male,70-74   ,12.57
2013-2015,1,Male,75-79   ,9.79
2013-2015,1,Male,80-84   ,7.38
2013-2015,1,Male,85-89   ,5.41
2013-2015,1,Male,90+     ,4.01
2013-2015,1,Female,<1      ,78.86
2013-2015,1,Female,1-4,78.28
2013-2015,1,Female,5-9,74.34
2013-2015,1,Female,10-14,69.38
2013-2015,1,Female,15-19   ,64.42
2013-2015,1,Female,20-24   ,59.48
2013-2015,1,Female,25-29   ,54.56
2013-2015,1,Female,30-34   ,49.66
2013-2015,1,Female,35-39   ,44.83
2013-2015,1,Female,40-44   ,40.1
2013-2015,1,Female,45-49   ,35.47
2013-2015,1,Female,50-54   ,30.96
2013-2015,1,Female,55-59   ,26.61
2013-2015,1,Female,60-64   ,22.41
2013-2015,1,Female,65-69   ,18.51
2013-2015,1,Female,70-74   ,14.9
2013-2015,1,Female,75-79   ,11.62
2013-2015,1,Female,80-84   ,8.76
2013-2015,1,Female,85-89   ,6.45
2013-2015,1,Female,90+     ,4.66
2013-2015,2,Male,<1      ,76.07
2013-2015,2,Male,1-4,75.47
2013-2015,2,Male,5-9,71.52
2013-2015,2,Male,10-14,66.57
2013-2015,2,Male,15-19   ,61.61
2013-2015,2,Male,20-24   ,56.71
2013-2015,2,Male,25-29   ,51.87
2013-2015,2,Male,30-34   ,47.05
2013-2015,2,Male,35-39   ,42.26
2013-2015,2,Male,40-44   ,37.56
2013-2015,2,Male,45-49   ,32.99
2013-2015,2,Male,50-54   ,28.58
2013-2015,2,Male,55-59   ,24.31
2013-2015,2,Male,60-64   ,20.29
2013-2015,2,Male,65-69   ,16.61
2013-2015,2,Male,70-74   ,13.21
2013-2015,2,Male,75-79   ,10.18
2013-2015,2,Male,80-84   ,7.57
2013-2015,2,Male,85-89   ,5.52
2013-2015,2,Male,90+     ,4.02
2013-2015,2,Female,<1      ,80.36
2013-2015,2,Female,1-4,79.72
2013-2015,2,Female,5-9,75.78
2013-2015,2,Female,10-14,70.81
2013-2015,2,Female,15-19   ,65.85
2013-2015,2,Female,20-24   ,60.9
2013-2015,2,Female,25-29   ,55.96
2013-2015,2,Female,30-34   ,51.05
2013-2015,2,Female,35-39   ,46.18
2013-2015,2,Female,40-44   ,41.37
2013-2015,2,Female,45-49   ,36.67
2013-2015,2,Female,50-54   ,32.06
2013-2015,2,Female,55-59   ,27.57
2013-2015,2,Female,60-64   ,23.27
2013-2015,2,Female,65-69   ,19.22
2013-2015,2,Female,70-74   ,15.43
2013-2015,2,Female,75-79   ,11.98
2013-2015,2,Female,80-84   ,8.91
2013-2015,2,Female,85-89   ,6.4
2013-2015,2,Female,90+     ,4.48
2013-2015,3,Male,<1      ,77.41
2013-2015,3,Male,1-4,76.76
2013-2015,3,Male,5-9,72.82
2013-2015,3,Male,10-14,67.86
2013-2015,3,Male,15-19   ,62.9
2013-2015,3,Male,20-24   ,58
2013-2015,3,Male,25-29   ,53.13
2013-2015,3,Male,30-34   ,48.28
2013-2015,3,Male,35-39   ,43.47
2013-2015,3,Male,40-44   ,38.75
2013-2015,3,Male,45-49   ,34.14
2013-2015,3,Male,50-54   ,29.64
2013-2015,3,Male,55-59   ,25.3
2013-2015,3,Male,60-64   ,21.16
2013-2015,3,Male,65-69   ,17.33
2013-2015,3,Male,70-74   ,13.75
2013-2015,3,Male,75-79   ,10.57
2013-2015,3,Male,80-84   ,7.83
2013-2015,3,Male,85-89   ,5.64
2013-2015,3,Male,90+     ,4.15
2013-2015,3,Female,<1      ,81.65
2013-2015,3,Female,1-4,80.92
2013-2015,3,Female,5-9,76.97
2013-2015,3,Female,10-14,71.99
2013-2015,3,Female,15-19   ,67.03
2013-2015,3,Female,20-24   ,62.09
2013-2015,3,Female,25-29   ,57.15
2013-2015,3,Female,30-34   ,52.23
2013-2015,3,Female,35-39   ,47.33
2013-2015,3,Female,40-44   ,42.51
2013-2015,3,Female,45-49   ,37.75
2013-2015,3,Female,50-54   ,33.09
2013-2015,3,Female,55-59   ,28.54
2013-2015,3,Female,60-64   ,24.13
2013-2015,3,Female,65-69   ,20
2013-2015,3,Female,70-74   ,16.03
2013-2015,3,Female,75-79   ,12.45
2013-2015,3,Female,80-84   ,9.2
2013-2015,3,Female,85-89   ,6.65
2013-2015,3,Female,90+     ,4.67
2013-2015,4,Male,<1      ,78.7
2013-2015,4,Male,1-4,78.05
2013-2015,4,Male,5-9,74.1
2013-2015,4,Male,10-14,69.12
2013-2015,4,Male,15-19   ,64.15
2013-2015,4,Male,20-24   ,59.26
2013-2015,4,Male,25-29   ,54.38
2013-2015,4,Male,30-34   ,49.54
2013-2015,4,Male,35-39   ,44.7
2013-2015,4,Male,40-44   ,39.93
2013-2015,4,Male,45-49   ,35.27
2013-2015,4,Male,50-54   ,30.71
2013-2015,4,Male,55-59   ,26.28
2013-2015,4,Male,60-64   ,22.07
2013-2015,4,Male,65-69   ,18.11
2013-2015,4,Male,70-74   ,14.39
2013-2015,4,Male,75-79   ,11.08
2013-2015,4,Male,80-84   ,8.18
2013-2015,4,Male,85-89   ,5.88
2013-2015,4,Male,90+     ,4.2
2013-2015,4,Female,<1      ,82.46
2013-2015,4,Female,1-4,81.74
2013-2015,4,Female,5-9,77.79
2013-2015,4,Female,10-14,72.82
2013-2015,4,Female,15-19   ,67.85
2013-2015,4,Female,20-24   ,62.9
2013-2015,4,Female,25-29   ,57.95
2013-2015,4,Female,30-34   ,53.03
2013-2015,4,Female,35-39   ,48.13
2013-2015,4,Female,40-44   ,43.29
2013-2015,4,Female,45-49   ,38.51
2013-2015,4,Female,50-54   ,33.82
2013-2015,4,Female,55-59   ,29.24
2013-2015,4,Female,60-64   ,24.81
2013-2015,4,Female,65-69   ,20.57
2013-2015,4,Female,70-74   ,16.52
2013-2015,4,Female,75-79   ,12.83
2013-2015,4,Female,80-84   ,9.49
2013-2015,4,Female,85-89   ,6.77
2013-2015,4,Female,90+     ,4.74
2013-2015,5,Male,<1      ,79.59
2013-2015,5,Male,1-4,78.9
2013-2015,5,Male,5-9,74.94
2013-2015,5,Male,10-14,69.98
2013-2015,5,Male,15-19   ,65.01
2013-2015,5,Male,20-24   ,60.11
2013-2015,5,Male,25-29   ,55.24
2013-2015,5,Male,30-34   ,50.37
2013-2015,5,Male,35-39   ,45.53
2013-2015,5,Male,40-44   ,40.76
2013-2015,5,Male,45-49   ,36.05
2013-2015,5,Male,50-54   ,31.44
2013-2015,5,Male,55-59   ,26.94
2013-2015,5,Male,60-64   ,22.61
2013-2015,5,Male,65-69   ,18.55
2013-2015,5,Male,70-74   ,14.74
2013-2015,5,Male,75-79   ,11.29
2013-2015,5,Male,80-84   ,8.27
2013-2015,5,Male,85-89   ,5.88
2013-2015,5,Male,90+     ,4.17
2013-2015,5,Female,<1      ,83.13
2013-2015,5,Female,1-4,82.4
2013-2015,5,Female,5-9,78.45
2013-2015,5,Female,10-14,73.48
2013-2015,5,Female,15-19   ,68.49
2013-2015,5,Female,20-24   ,63.56
2013-2015,5,Female,25-29   ,58.64
2013-2015,5,Female,30-34   ,53.71
2013-2015,5,Female,35-39   ,48.81
2013-2015,5,Female,40-44   ,43.94
2013-2015,5,Female,45-49   ,39.14
2013-2015,5,Female,50-54   ,34.43
2013-2015,5,Female,55-59   ,29.8
2013-2015,5,Female,60-64   ,25.31
2013-2015,5,Female,65-69   ,20.99
2013-2015,5,Female,70-74   ,16.86
2013-2015,5,Female,75-79   ,13.04
2013-2015,5,Female,80-84   ,9.64
2013-2015,5,Female,85-89   ,6.82
2013-2015,5,Female,90+     ,4.74
2013-2015,6,Male,<1      ,80.4
2013-2015,6,Male,1-4,79.67
2013-2015,6,Male,5-9,75.71
2013-2015,6,Male,10-14,70.74
2013-2015,6,Male,15-19   ,65.77
2013-2015,6,Male,20-24   ,60.87
2013-2015,6,Male,25-29   ,55.99
2013-2015,6,Male,30-34   ,51.13
2013-2015,6,Male,35-39   ,46.28
2013-2015,6,Male,40-44   ,41.48
2013-2015,6,Male,45-49   ,36.75
2013-2015,6,Male,50-54   ,32.09
2013-2015,6,Male,55-59   ,27.53
2013-2015,6,Male,60-64   ,23.17
2013-2015,6,Male,65-69   ,19.05
2013-2015,6,Male,70-74   ,15.14
2013-2015,6,Male,75-79   ,11.59
2013-2015,6,Male,80-84   ,8.46
2013-2015,6,Male,85-89   ,5.95
2013-2015,6,Male,90+     ,4.15
2013-2015,6,Female,<1      ,83.64
2013-2015,6,Female,1-4,82.88
2013-2015,6,Female,5-9,78.91
2013-2015,6,Female,10-14,73.94
2013-2015,6,Female,15-19   ,68.97
2013-2015,6,Female,20-24   ,64.03
2013-2015,6,Female,25-29   ,59.08
2013-2015,6,Female,30-34   ,54.15
2013-2015,6,Female,35-39   ,49.26
2013-2015,6,Female,40-44   ,44.38
2013-2015,6,Female,45-49   ,39.57
2013-2015,6,Female,50-54   ,34.84
2013-2015,6,Female,55-59   ,30.19
2013-2015,6,Female,60-64   ,25.66
2013-2015,6,Female,65-69   ,21.31
2013-2015,6,Female,70-74   ,17.13
2013-2015,6,Female,75-79   ,13.24
2013-2015,6,Female,80-84   ,9.73
2013-2015,6,Female,85-89   ,6.83
2013-2015,6,Female,90+     ,4.69
2013-2015,7,Male,<1      ,81
2013-2015,7,Male,1-4,80.28
2013-2015,7,Male,5-9,76.34
2013-2015,7,Male,10-14,71.37
2013-2015,7,Male,15-19   ,66.4
2013-2015,7,Male,20-24   ,61.48
2013-2015,7,Male,25-29   ,56.61
2013-2015,7,Male,30-34   ,51.74
2013-2015,7,Male,35-39   ,46.9
2013-2015,7,Male,40-44   ,42.07
2013-2015,7,Male,45-49   ,37.31
2013-2015,7,Male,50-54   ,32.61
2013-2015,7,Male,55-59   ,28.02
2013-2015,7,Male,60-64   ,23.59
2013-2015,7,Male,65-69   ,19.41
2013-2015,7,Male,70-74   ,15.4
2013-2015,7,Male,75-79   ,11.76
2013-2015,7,Male,80-84   ,8.58
2013-2015,7,Male,85-89   ,6.01
2013-2015,7,Male,90+     ,4.18
2013-2015,7,Female,<1      ,84.24
2013-2015,7,Female,1-4,83.45
2013-2015,7,Female,5-9,79.49
2013-2015,7,Female,10-14,74.52
2013-2015,7,Female,15-19   ,69.54
2013-2015,7,Female,20-24   ,64.6
2013-2015,7,Female,25-29   ,59.65
2013-2015,7,Female,30-34   ,54.71
2013-2015,7,Female,35-39   ,49.78
2013-2015,7,Female,40-44   ,44.91
2013-2015,7,Female,45-49   ,40.09
2013-2015,7,Female,50-54   ,35.32
2013-2015,7,Female,55-59   ,30.64
2013-2015,7,Female,60-64   ,26.09
2013-2015,7,Female,65-69   ,21.68
2013-2015,7,Female,70-74   ,17.44
2013-2015,7,Female,75-79   ,13.47
2013-2015,7,Female,80-84   ,9.9
2013-2015,7,Female,85-89   ,6.97
2013-2015,7,Female,90+     ,4.77
2013-2015,8,Male,<1      ,81.44
2013-2015,8,Male,1-4,80.71
2013-2015,8,Male,5-9,76.76
2013-2015,8,Male,10-14,71.78
2013-2015,8,Male,15-19   ,66.81
2013-2015,8,Male,20-24   ,61.91
2013-2015,8,Male,25-29   ,57.02
2013-2015,8,Male,30-34   ,52.14
2013-2015,8,Male,35-39   ,47.28
2013-2015,8,Male,40-44   ,42.46
2013-2015,8,Male,45-49   ,37.68
2013-2015,8,Male,50-54   ,32.96
2013-2015,8,Male,55-59   ,28.34
2013-2015,8,Male,60-64   ,23.87
2013-2015,8,Male,65-69   ,19.63
2013-2015,8,Male,70-74   ,15.62
2013-2015,8,Male,75-79   ,11.96
2013-2015,8,Male,80-84   ,8.74
2013-2015,8,Male,85-89   ,6.18
2013-2015,8,Male,90+     ,4.31
2013-2015,8,Female,<1      ,84.55
2013-2015,8,Female,1-4,83.78
2013-2015,8,Female,5-9,79.81
2013-2015,8,Female,10-14,74.84
2013-2015,8,Female,15-19   ,69.86
2013-2015,8,Female,20-24   ,64.92
2013-2015,8,Female,25-29   ,59.98
2013-2015,8,Female,30-34   ,55.04
2013-2015,8,Female,35-39   ,50.13
2013-2015,8,Female,40-44   ,45.24
2013-2015,8,Female,45-49   ,40.39
2013-2015,8,Female,50-54   ,35.61
2013-2015,8,Female,55-59   ,30.93
2013-2015,8,Female,60-64   ,26.34
2013-2015,8,Female,65-69   ,21.9
2013-2015,8,Female,70-74   ,17.65
2013-2015,8,Female,75-79   ,13.63
2013-2015,8,Female,80-84   ,10.04
2013-2015,8,Female,85-89   ,7.04
2013-2015,8,Female,90+     ,4.8
